WireLoad   Gates      Cap        Area       Delay     
op10       1771.0     1.0        2248.0     275.5     
origin     1807.0     1.0        2301.0     288.34    
op1        1860.0     1.0        2348.0     274.05    
op19       1863.0     1.0        2353.0     282.65    
op2        1870.0     1.0        2360.0     278.17    
op21       1870.0     1.0        2361.0     298.24    
op6        1872.0     1.0        2362.0     278.5     
op7        1872.0     1.0        2362.0     278.86    
op4        1871.0     1.0        2363.0     274.68    
op29       1872.0     1.0        2364.0     278.77    
op20       1873.0     1.0        2366.0     280.14    
op22       1875.0     1.0        2366.0     281.8     
op12       1875.0     1.0        2368.0     278.99    
op25       1880.0     1.0        2372.0     280.23    
op28       1879.0     1.0        2372.0     280.72    
op30       1881.0     1.0        2375.0     281.12    
op8        1894.0     1.0        2390.0     285.45    
op17       1901.0     1.0        2400.0     281.11    
op27       1950.0     1.0        2451.0     283.29    
op5        1958.0     1.0        2467.0     291.47    
op24       1965.0     1.0        2470.0     287.07    
op16       1968.0     1.0        2473.0     302.8     
op3        1992.0     1.0        2502.0     288.84    
op13       2011.0     1.0        2522.0     290.25    
op23       2032.0     1.0        2548.0     287.46    
op11       2053.0     1.0        2568.0     292.2     
op26       2054.0     1.0        2568.0     288.7     
op14       2058.0     1.0        2569.0     292.3     
op18       2065.0     1.0        2581.0     289.88    
op15       2061.0     1.0        2582.0     291.04    
op9        2116.0     1.0        2644.0     293.53    
