WireLoad   Gates      Cap        Area       Delay     
origin     1807.0     1.0        2301.0     288.34    
op14       2309.0     1.0        2902.0     308.51    
op3        2181.0     0.9        2707.0     317.7     
op9        2417.0     1.0        3063.0     319.67    
op25       2334.0     1.0        2901.0     321.84    
op22       2411.0     0.9        2985.0     326.06    
op30       2379.0     1.0        2957.0     326.35    
op20       2391.0     0.9        2960.0     327.92    
op6        2488.0     1.0        3119.0     328.03    
op11       2280.0     0.9        2811.0     328.28    
op7        2428.0     1.0        3027.0     330.6     
op12       2407.0     1.0        3022.0     333.56    
op2        2463.0     1.0        3055.0     333.89    
op10       2552.0     0.9        3165.0     334.04    
op4        2247.0     1.0        2814.0     335.39    
op16       2393.0     1.0        3017.0     335.44    
op19       2389.0     1.0        2983.0     335.49    
op27       2600.0     0.9        3217.0     336.48    
op24       2571.0     1.0        3239.0     342.76    
op23       2409.0     1.0        2992.0     344.43    
op15       2490.0     1.0        3090.0     344.66    
op26       2394.0     1.0        3000.0     345.15    
op17       2402.0     1.0        3013.0     347.44    
op1        2537.0     0.9        3137.0     348.23    
op28       2520.0     1.0        3180.0     349.39    
op29       2339.0     1.0        2930.0     351.77    
op5        2543.0     1.0        3175.0     359.55    
op13       2552.0     1.0        3215.0     360.6     
op21       2697.0     1.0        3349.0     368.56    
op8        2696.0     1.0        3343.0     380.17    
