WireLoad,Gates,Cap,Area,Delay
op12,362.0,1.0,471.0,126.56
op9,350.0,1.1,478.0,126.93
op22,357.0,1.0,466.0,128.6
op19,357.0,1.0,473.0,130.67
op26,339.0,1.2,484.0,132.83
op2,353.0,1.0,454.0,134.82
op17,346.0,1.0,460.0,135.44
op25,361.0,1.0,466.0,135.46
op29,347.0,1.1,472.0,136.27
op4,367.0,1.0,476.0,137.52
op11,351.0,1.1,485.0,137.53
op24,349.0,1.0,451.0,138.79
op23,357.0,1.0,462.0,138.82
op16,350.0,1.0,460.0,140.98
origin,352.0,1.0,457.0,141.24
op20,357.0,1.0,450.0,141.94
op8,351.0,1.0,453.0,143.09
op28,348.0,1.0,443.0,145.4
op14,349.0,1.0,452.0,146.55
op10,350.0,1.0,456.0,147.18
op7,349.0,1.0,456.0,147.33
op27,354.0,1.0,456.0,148.72
op3,348.0,1.0,458.0,149.31
op21,347.0,1.1,471.0,150.5
op6,363.0,1.0,473.0,152.04
op18,357.0,1.1,486.0,153.56
op1,361.0,1.0,457.0,154.64
op15,369.0,1.0,476.0,155.05
op5,354.0,1.0,463.0,160.8
op13,351.0,1.1,465.0,164.89
