WireLoad   Gates      Cap        Area       Delay     
origin     7.0        0.8        9.0        31.88     
op1        7.0        0.8        9.0        31.88     
op2        7.0        0.8        9.0        31.88     
op3        7.0        0.8        9.0        31.88     
op4        7.0        0.8        9.0        31.88     
op6        7.0        0.8        9.0        31.88     
op7        7.0        0.8        9.0        31.88     
op8        7.0        0.8        9.0        31.88     
op10       7.0        0.8        9.0        31.88     
op11       7.0        0.8        9.0        31.88     
op12       7.0        0.8        9.0        31.88     
op13       7.0        0.8        9.0        31.88     
op15       7.0        0.8        9.0        31.88     
op16       7.0        0.8        9.0        31.88     
op17       7.0        0.8        9.0        31.88     
op18       7.0        0.8        9.0        31.88     
op19       7.0        0.8        9.0        31.88     
op20       7.0        0.8        9.0        31.88     
op22       7.0        0.8        9.0        31.88     
op23       7.0        0.8        9.0        31.88     
op24       7.0        0.8        9.0        31.88     
op25       7.0        0.8        9.0        31.88     
op26       7.0        0.8        9.0        31.88     
op27       7.0        0.8        9.0        31.88     
op28       7.0        0.8        9.0        31.88     
op29       7.0        0.8        9.0        31.88     
op9        10.0       0.7        12.0       34.39     
op30       9.0        0.6        10.0       35.15     
op5        6.0        0.7        8.0        39.71     
op14       6.0        0.7        8.0        39.71     
op21       6.0        0.7        7.0        42.03     
