WireLoad,Gates,Cap,Area,Delay
origin,350.0,1.0,452.0,150.2
op5,350.0,1.0,452.0,150.2
op11,350.0,1.0,452.0,150.2
op12,350.0,1.0,452.0,150.2
op16,350.0,1.0,452.0,150.2
op19,350.0,1.0,452.0,150.2
op20,350.0,1.0,452.0,150.2
op21,350.0,1.0,452.0,150.2
op23,350.0,1.0,452.0,150.2
op24,350.0,1.0,452.0,150.2
op25,350.0,1.0,452.0,150.2
op26,350.0,1.0,452.0,150.2
op27,350.0,1.0,452.0,150.2
op28,350.0,1.0,452.0,150.2
op29,350.0,1.0,452.0,150.2
op13,350.0,1.0,441.0,151.49
op4,350.0,1.0,439.0,154.29
op9,350.0,0.9,438.0,156.87
op14,350.0,0.9,436.0,161.0
op15,350.0,0.9,436.0,161.64
op2,350.0,0.9,435.0,167.93
op10,350.0,0.9,435.0,167.93
op7,350.0,0.9,435.0,170.76
op17,350.0,0.9,435.0,170.76
op1,350.0,0.9,434.0,172.19
op6,350.0,0.9,434.0,174.08
op3,350.0,0.9,434.0,179.0
op22,350.0,0.9,434.0,179.0
op8,350.0,0.9,434.0,181.31
op18,350.0,0.9,434.0,186.19
