WireLoad,Gates,Cap,Area,Delay
origin,1807,1.0,2301,288.34
op1,2380,1.0,2948,335.59
op2,2145,1.0,2679,320.13
op3,2320,1.0,2916,340.96
op4,2303,1.0,2867,336.00
op5,2247,0.9,2783,318.64
op6,2336,1.0,2918,331.11
op7,2255,1.0,2816,335.59
op8,2362,1.0,2968,351.77
op9,2319,1.0,2904,322.23
op10,2329,1.0,2909,333.40
op11,2297,1.0,2872,338.69
op12,2450,1.0,3059,354.04
op13,2490,1.0,3110,355.38
op14,2585,1.0,3268,368.85
op15,2488,1.0,3134,356.38
op16,2378,1.0,2974,352.05
op17,2308,1.0,2879,339.45
op18,2423,0.9,2985,344.03
op19,2322,1.0,2884,327.62
op20,2312,1.0,2872,322.02
op21,2412,1.0,2997,343.16
op22,2346,1.0,2907,318.30
op23,2277,1.0,2877,322.24
op24,2336,1.0,2915,340.94
op25,2321,1.0,2897,344.44
op26,2390,1.0,2980,345.00
op27,2349,1.0,2927,332.30
op28,2343,1.0,2909,342.68
op29,2440,1.0,3083,349.76
op30,2347,1.0,2915,326.50
