WireLoad  Gates     Cap       Area      Delay     
origin    549       0.9       665       352.14    
op1       774       1.2       1064      345.82    
op2       779       1.1       1017      372.75    
op3       748       1.1       989       364.32    
op4       722       1.1       957       364.37    
op5       796       1.1       1074      362.31    
op6       749       1.1       1015      367.26    
op7       787       1.1       1028      359.43    
op8       693       1.1       941       345.97    
op9       755       1.1       1025      371.98    
op10      757       1.1       1025      346.58    
op11      794       1.1       1056      374.98    
op12      754       1.1       1007      367.85    
op13      759       1.1       999       369.90    
op14      786       1.1       1031      366.54    
op15      795       1.1       1053      374.77    
op16      783       1.1       1030      363.78    
op17      811       1.1       1104      373.21    
op18      758       1.1       1003      375.84    
op19      773       1.1       1039      360.26    
op20      738       1.1       970       365.43    
op21      788       1.1       1032      364.25    
op22      811       1.1       1082      375.05    
op23      750       1.1       995       367.60    
op24      799       1.1       1044      410.98    
op25      775       1.1       1012      362.28    
op26      757       1.1       994       361.62    
op27      782       1.1       1053      393.26    
op28      746       1.1       996       368.68    
op29      821       1.2       1140      358.63    
op30      793       1.2       1100      367.69    
