WireLoad   Gates      Cap        Area       Delay     
origin     549.0      0.9        665.0      352.14    
op8        693.0      1.1        941.0      345.97    
op4        722.0      1.1        957.0      364.37    
op20       738.0      1.1        970.0      365.43    
op3        748.0      1.1        989.0      364.32    
op26       757.0      1.1        994.0      361.62    
op23       750.0      1.1        995.0      367.6     
op28       746.0      1.1        996.0      368.68    
op13       759.0      1.1        999.0      369.9     
op18       758.0      1.1        1003.0     375.84    
op12       754.0      1.1        1007.0     367.85    
op25       775.0      1.1        1012.0     362.28    
op6        749.0      1.1        1015.0     367.26    
op2        779.0      1.1        1017.0     372.75    
op9        755.0      1.1        1025.0     371.98    
op10       757.0      1.1        1025.0     346.58    
op7        787.0      1.1        1028.0     359.43    
op16       783.0      1.1        1030.0     363.78    
op14       786.0      1.1        1031.0     366.54    
op21       788.0      1.1        1032.0     364.25    
op19       773.0      1.1        1039.0     360.26    
op24       799.0      1.1        1044.0     410.98    
op15       795.0      1.1        1053.0     374.77    
op27       782.0      1.1        1053.0     393.26    
op11       794.0      1.1        1056.0     374.98    
op1        774.0      1.2        1064.0     345.82    
op5        796.0      1.1        1074.0     362.31    
op22       811.0      1.1        1082.0     375.05    
op30       793.0      1.2        1100.0     367.69    
op17       811.0      1.1        1104.0     373.21    
op29       821.0      1.2        1140.0     358.63    
