WireLoad,Gates,Cap,Area,Delay
origin,350,1.0,452,150.20
op1,350,0.9,434,172.19
op2,350,0.9,435,167.93
op3,350,0.9,434,179.00
op4,350,1.0,439,154.29
op5,350,1.0,452,150.20
op6,350,0.9,434,174.08
op7,350,0.9,435,170.76
op8,350,0.9,434,181.31
op9,350,0.9,438,156.87
op10,350,0.9,435,167.93
op11,350,1.0,452,150.20
op12,350,1.0,452,150.20
op13,350,1.0,441,151.49
op14,350,0.9,436,161.00
op15,350,0.9,436,161.64
op16,350,1.0,452,150.20
op17,350,0.9,435,170.76
op18,350,0.9,434,186.19
op19,350,1.0,452,150.20
op20,350,1.0,452,150.20
op21,350,1.0,452,150.20
op22,350,0.9,434,179.00
op23,350,1.0,452,150.20
op24,350,1.0,452,150.20
op25,350,1.0,452,150.20
op26,350,1.0,452,150.20
op27,350,1.0,452,150.20
op28,350,1.0,452,150.20
op29,350,1.0,452,150.20
