WireLoad,Gates,Cap,Area,Delay
origin,352,1.0,457,141.24
op1,361,1.0,457,154.64
op2,353,1.0,454,134.82
op3,348,1.0,458,149.31
op4,367,1.0,476,137.52
op5,354,1.0,463,160.80
op6,363,1.0,473,152.04
op7,349,1.0,456,147.33
op8,351,1.0,453,143.09
op9,350,1.1,478,126.93
op10,350,1.0,456,147.18
op11,351,1.1,485,137.53
op12,362,1.0,471,126.56
op13,351,1.1,465,164.89
op14,349,1.0,452,146.55
op15,369,1.0,476,155.05
op16,350,1.0,460,140.98
op17,346,1.0,460,135.44
op18,357,1.1,486,153.56
op19,357,1.0,473,130.67
op20,357,1.0,450,141.94
op21,347,1.1,471,150.50
op22,357,1.0,466,128.60
op23,357,1.0,462,138.82
op24,349,1.0,451,138.79
op25,361,1.0,466,135.46
op26,339,1.2,484,132.83
op27,354,1.0,456,148.72
op28,348,1.0,443,145.40
op29,347,1.1,472,136.27
