WireLoad  Gates     Cap       Area      Delay     
origin    1116      0.6       1175      2286.99   
op1       1127      0.6       1145      1798.85   
op2       1132      0.6       1147      1798.85   
op3       1130      0.6       1146      1798.85   
op4       1131      0.6       1146      1808.17   
op5       1130      0.6       1146      1798.85   
op6       1130      0.6       1146      1798.85   
op7       1130      0.6       1146      1798.85   
op8       1127      0.6       1145      1798.85   
op9       1127      0.6       1145      1798.85   
op10      1130      0.6       1146      1798.85   
op11      1130      0.6       1146      1798.85   
op12      1130      0.6       1146      1798.85   
op13      1130      0.6       1146      1798.85   
op14      1130      0.6       1146      1798.85   
op15      1130      0.6       1146      1798.85   
op16      1130      0.6       1146      1798.85   
op17      1130      0.6       1146      1798.85   
op18      1130      0.6       1146      1798.85   
op19      1130      0.6       1146      1798.85   
op20      1130      0.6       1146      1798.85   
op21      1130      0.6       1146      1798.85   
op22      1130      0.6       1146      1798.85   
op23      1130      0.6       1146      1798.85   
op24      1130      0.6       1146      1798.85   
op25      1130      0.6       1146      1798.85   
op26      1130      0.6       1146      1798.85   
op27      1130      0.6       1146      1798.85   
op28      1130      0.6       1146      1798.85   
op29      1130      0.6       1146      1798.85   
op30      1130      0.6       1146      1798.85   
